;;;;;;;;;;;;;;;;;;;;;
Base articles - Vente produits;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Classification article;;;Article;;;;;;Visible dans les outils;;Tarification;;;;;;Unité de mesure article;;;;
Catalogue;Famille;Sous-famille;Code;"Libellé court
(JDE, BL)";"Libellé commercial
(Devis, rapport, facture, OCW, UNITEC)";Statut article;Statut Stock;Article soumis à restriction client;OCW;UNITEC;Famille;Sous-famille;Code sous-Famille;"Tarif de référence
(pour unité de mesure principale)";Code de regroupement;Libellé code regroupement;Unité de mesure principale;Unité de mesure d'appro;Unité de mesure par défaut en nomenclature de pièces détachées;Conversion unité de mesure appro;Conversion unité de mesure nomenclature
CATEGORIE_ARTICLE;FAMILLE_ARTICLE;SOUS_FAMILLE_ARTICLE;CODE;LIBELLE;LIBELLE_COMMERCIAL;STATUT_ARTICLE;STATUT_STOCK;Art_sous_restriction;OCW;UNITEC;LIB_FAMILLE_TARIFAIRE;LIB_SOUS_FAMILLE_TARIFAIRE;SOUS_FAMILLE_TARIFAIRE;TARIF_REF_UM_PRIN;CODE_REGROUPEMENT;LIBELLE_REGROUPEMENT;UM_PRINCIPAL;UM_APPRO;UM_DEFAUT_BOM;CONV_UM_APPRO;CONV_UM_BOM
Catalogue produits;Alarme;BAAS / BAAL;428630140106CS;SON’ECLA BAAS Pr 2B NN;Equipement d'alarme BAAS Pr (2 boucles) SON'ECLA NN Chubb;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;   1283,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;BAAS / BAAL;428630140107CS;SON’ECLA BAAS Pr 4B NN;Equipement d'alarme BAAS Pr (4 boucles) SON'ECLA NN Chubb;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;   1283,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;BAAS / BAAL;428630140108CS;SON’ECLA BAAS Pr 8B NN;Equipement d'alarme BAAS Pr (8 boucles) SON'ECLA NN Chubb;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;   1294,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;DAACO;428640000135;DAACO 10LLCO;DAACO 10 LLCO (pile lithium scellée) garantie 10 ans;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;    114,30;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;DAACO;428640000136;DAACO 10LLDCO;DAACO 10 LLDCO (pile lithium scellée) garantie 10 ans;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;    127,70;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;DAAF;428640000108;DAAF 10Y29NF;DAAF 10Y29 boîte carton (pile lithium 10 ans);Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Détecteurs;VV2;     75,26;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;DAAF;P0DF41;DET FUMEE 10Y29 PLUS PAST;DAAF 10Y29 boîte carton (pile lithium 10 ans) + adhésif;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Détecteurs;VV2;     58,96;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;PPMS;428430140049;ALARME MENACE A PILE RF CHUBB;Alarme menace à pile radio Chubb;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;   1295,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;PPMS;428640100043;Alarme PPMS Agylus;Alarme PPMS à piles radio Agylus;Article en fin de vie;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;   2061,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;PPMS;428640100045;Télécommande PPMS Agylus ;Télécommande pour équipement d'alarme PPMS Agylus;Article en fin de vie;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;   1462,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;Télécommande;428520000009;MODULE TELECOMMANDE TMS300;Module de télécommande de mise en arrêt / veille TMS 300;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;    347,50;; ;Unité;Unité;Unité; ; 
